product_id,product_category,product_type,product_detail
32,Coffee,Gourmet brewed coffee,Ethiopia Rg
57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
22,Coffee,Drip coffee,Our Old Time Diner Blend Sm
77,Bakery,Scone,Oatmeal Scone
28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
39,Coffee,Barista Espresso,Latte Rg
58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
33,Coffee,Gourmet brewed coffee,Ethiopia Lg
51,Tea,Brewed Black tea,Earl Grey Lg
87,Coffee,Barista Espresso,Ouro Brasileiro shot
47,Tea,Brewed Green tea,Serenity Green Tea Lg
79,Bakery,Scone,Jumbo Savory Scone
42,Tea,Brewed herbal tea,Lemon Grass Rg
61,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
69,Bakery,Biscotti,Hazelnut Biscotti
40,Coffee,Barista Espresso,Cappuccino
43,Tea,Brewed herbal tea,Lemon Grass Lg
76,Bakery,Biscotti,Chocolate Chip Biscotti
45,Tea,Brewed herbal tea,Peppermint Lg
71,Bakery,Pastry,Chocolate Croissant
38,Coffee,Barista Espresso,Latte
26,Coffee,Organic brewed coffee,Brazilian Rg
27,Coffee,Organic brewed coffee,Brazilian Lg
29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
24,Coffee,Drip coffee,Our Old Time Diner Blend Lg
60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
78,Bakery,Scone,Scottish Cream Scone 
44,Tea,Brewed herbal tea,Peppermint Rg
48,Tea,Brewed Black tea,English Breakfast Rg
23,Coffee,Drip coffee,Our Old Time Diner Blend Rg
46,Tea,Brewed Green tea,Serenity Green Tea Rg
25,Coffee,Organic brewed coffee,Brazilian Sm
34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
74,Bakery,Biscotti,Ginger Biscotti
53,Tea,Brewed Chai tea,Traditional Blend Chai Lg
41,Coffee,Barista Espresso,Cappuccino Lg
37,Coffee,Barista Espresso,Espresso shot
50,Tea,Brewed Black tea,Earl Grey Rg
72,Bakery,Scone,Ginger Scone
35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
70,Bakery,Scone,Cranberry Scone
73,Bakery,Pastry,Almond Croissant
75,Bakery,Pastry,Croissant
31,Coffee,Gourmet brewed coffee,Ethiopia Sm
49,Tea,Brewed Black tea,English Breakfast Lg
52,Tea,Brewed Chai tea,Traditional Blend Chai Rg
30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
